0,0,1,A
1,1,0,B
2,2,0,A
3,3,1,B
4,4,0,A
5,5,1,B
6,6,1,A
7,7,1,B
8,8,0,A
9,9,0,A
10,10,0,A
11,11,1,A
12,12,1,A
13,13,1,A
14,14,1,A
15,15,1,B
16,16,1,B
17,17,0,B
18,18,1,B
19,19,1,B
20,20,1,B
21,21,0,B
22,22,1,A
23,23,0,A
24,24,1,B
25,25,0,A
26,26,1,B
27,27,0,A
28,28,1,A
29,29,1,B
30,30,1,A
31,31,1,A
32,32,1,A
33,33,1,A
34,34,1,B
35,35,0,B
36,36,1,B
37,37,1,B
38,38,1,A
39,39,0,B
40,40,0,B
41,41,1,B
42,42,1,A
43,43,1,B
44,44,1,A
45,45,1,A
46,46,0,B
47,47,0,B
48,48,1,A
49,49,1,A
50,50,1,B
51,51,0,B
52,52,0,A
53,53,1,A
54,54,1,B
55,55,0,A
56,56,1,B
57,57,0,B
58,58,0,A
59,59,0,A
60,60,0,B
61,61,1,B
62,62,0,B
63,63,1,A
64,64,0,B
65,65,1,B
66,66,1,B
67,67,0,B
68,68,1,A
69,69,1,B
70,70,1,A
71,71,0,B
72,72,1,B
73,73,1,B
74,74,1,B
75,75,1,B
76,76,1,A
77,77,1,B
78,78,1,A
79,79,1,A
80,80,0,A
81,81,1,A
82,82,1,B
83,83,0,B
84,84,1,A
85,85,1,B
86,86,1,B
87,87,1,B
88,88,1,B
89,89,1,A
90,90,0,A
91,91,1,B
92,92,0,B
93,93,0,A
94,94,0,A
95,95,0,A
96,96,1,A
97,97,1,A
98,98,0,A
99,99,1,A
100,100,1,A
101,101,1,A
102,102,1,A
103,103,1,A
104,104,0,A
105,105,0,A
106,106,1,B
107,107,1,B
108,108,1,A
109,109,0,B
110,110,1,B
111,111,1,A
112,112,1,B
113,113,1,B
114,114,1,A
115,115,0,B
116,116,1,A
117,117,1,A
118,118,0,A
119,119,1,B
120,120,1,B
121,121,0,B
122,122,1,A
123,123,0,A
124,124,1,A
125,125,1,B
126,126,1,A
127,127,1,B
128,128,1,A
129,129,0,B
130,130,1,B
131,131,0,A
132,132,1,A
133,133,1,A
134,134,1,B
135,135,1,B
136,136,1,A
137,137,0,A
138,138,1,A
139,139,1,A
140,140,1,B
141,141,0,B
142,142,0,B
143,143,1,A
144,144,1,A
145,145,1,B
146,146,1,B
147,147,1,B
148,148,1,A
149,149,1,B
150,150,1,A
151,151,1,A
152,152,1,B
153,153,1,A
154,154,0,A
155,155,1,A
156,156,1,A
157,157,1,A
158,158,0,B
159,159,0,A
160,160,1,B
161,161,1,B
162,162,1,A
163,163,1,A
164,164,1,B
165,165,0,A
166,166,1,B
167,167,0,B
168,168,1,A
169,169,1,B
170,170,1,B
171,171,0,A
172,172,1,B
173,173,1,A
174,174,1,B
175,175,0,B
176,176,0,A
177,177,1,B
178,178,1,B
179,179,1,A
180,180,0,A
181,181,0,A
182,182,1,B
183,183,1,B
184,184,1,A
185,185,0,A
186,186,0,B
187,187,1,B
188,188,1,A
189,189,1,B
190,190,1,A
191,191,1,A
192,192,1,B
193,193,1,A
194,194,1,A
195,195,1,A
196,196,1,B
197,197,0,A
198,198,1,A
199,199,1,A
