0	1098	ADM
1	1100	NUR
2	1105	NUR
3	1108	NUR
4	1109	NUR
5	1114	NUR
6	1115	NUR
7	1116	NUR
8	1130	MED
9	1142	NUR
10	1144	MED
11	1148	MED
12	1149	NUR
13	1152	MED
14	1157	MED
15	1159	MED
16	1164	NUR
17	1168	MED
18	1179	ADM
19	1181	NUR
20	1190	NUR
21	1191	MED
22	1193	NUR
23	1196	NUR
24	1202	NUR
25	1205	NUR
26	1207	NUR
27	1209	ADM
28	1210	NUR
29	1221	MED
30	1232	ADM
31	1238	NUR
32	1245	NUR
33	1246	NUR
34	1260	MED
35	1261	NUR
36	1295	NUR
37	1305	PAT
38	1307	PAT
39	1320	PAT
40	1323	PAT
41	1327	PAT
42	1332	PAT
43	1352	PAT
44	1362	PAT
45	1363	PAT
46	1365	PAT
47	1373	PAT
48	1374	PAT
49	1377	PAT
50	1378	PAT
51	1383	PAT
52	1385	PAT
53	1391	PAT
54	1393	PAT
55	1395	PAT
56	1399	PAT
57	1401	PAT
58	1416	PAT
59	1460	PAT
60	1469	PAT
61	1485	NUR
62	1525	ADM
63	1535	ADM
64	1547	PAT
65	1613	NUR
66	1625	NUR
67	1629	NUR
68	1658	ADM
69	1660	MED
70	1671	ADM
71	1701	PAT
72	1702	PAT
73	1769	PAT
74	1784	PAT
